編號,寺廟名稱,行政區,所在地
1,中崙福順宮,松山區,南京東路3段303巷8弄臨10號
2,台北佛教蓮社,松山區,南京東路5段59巷29弄4號
3,台北府城隍廟,松山區,虎林街3號
4,松山水福宮,松山區,松河街3號
5,松山慈福宮,松山區,八德路4段829巷26號
6,松山福德宮,松山區,饒河街92號
7,松山聚福廟,松山區,八德路4段498之1號1樓
8,松山霞海城隍廟,松山區,八德路4段439號
9,法光寺,松山區,光復北路60巷20號
10,財團法人台北市中崙福成宮,松山區,市民大道4段71號
11,財團法人台北市放生念佛會,松山區,延吉街33號
12,財團法人台北市松山慈祐宮,松山區,八德路4段761號
13,福德宮,松山區,八德路4段181巷16弄11號
14,劍童廟,松山區,八德路3段199巷1號
15,財團法人台北市松山寺,信義區,吳興街284巷17之1號
16,三張犁福佑宮,信義區,信義路5段150巷18之1號
17,中坡福壽宮,信義區,福德街221巷14號
18,天寶聖道宮,信義區,松山路664之10號
19,代天殿靈雲宮,信義區,信義路5段150巷22弄43號
20,台北市松山五分埔福德宮,信義區,虎林街47之3號
21,石泉巖,信義區,臥龍街431巷50號
22,吉福宮,信義區,松山路臨679-1號
23,松山奉天宮,信義區,福德街221巷12號
24,松山進安宮,信義區,永吉路517巷8弄12-3號
25,松山順安宮,信義區,松隆路臨45號
26,松山慈惠堂,信義區,福德街251巷33號
27,松山靈隱寺,信義區,松山路臨677之15號
28,狀元廟,信義區,吳興街336巷52號
29,信義天后宮,信義區,吳興街600巷臨68號
30,真光禪寺,信義區,福德街221巷200號
31,財團法人台北市靈源寺,信義區,虎林街26巷5號
32,財團法人承天武聖廟,信義區,臥龍街477-12號
33,普陀山慈航寺,信義區,松山路臨677-7號
34,港口奉聖宮,信義區,和平東路3段631巷52號
35,興雅福德宮,信義區,永吉路30巷30號
36,一心寺,大安區,建國南路2段11巷6號
37,九龍蓮社,大安區,四維路52巷1之1及3號
38,大安車層景福宮,大安區,延吉街77號
39,台北市大安區福安宮,大安區,臥龍街61號
40,法雲寺,大安區,新生南路1段165巷5之1號
41,夏教養聖堂,大安區,建國南路1段44巷7號
42,泰安宮,大安區,潮州街98巷1、3、5號
43,財團法人台北市天德堂總堂,大安區,和平東路3段596號
44,財團法人台北市白雲禪寺,大安區,安和路2段20巷2號
45,財團法人台北市圓通學苑,大安區,潮州街58之1號
46,財團法人台北市福佑宮,大安區,安東街32號
47,財團法人通化堂,大安區,復興南路2段179號4樓
48,福景宮,大安區,光復南路698號
49,福興宮,大安區,延吉街 263號
50,觀音禪院,大安區,新生南路1段137巷 6號
51,九府仙師廟,中山區,民權西路70巷31、33號
52,下塔悠福德爺宮,中山區,敬業三路196號
53,大忠宮,中山區,中山北路4段71巷2弄臨5號
54,中嶽殿,中山區,民族東路115號
55,台北市文昌宮,中山區,民生西路45巷9號
56,台北市圓玄學社,中山區,長春路163巷18號
57,台北市圓明宮,中山區,中山北路2段128巷3之2號
58,台北保霞宮,中山區,松江路226巷21號
59,台北神德宮,中山區,濱江街180巷13號
60,地藏庵,中山區,玉門街11號
61,明山寺福天宮,中山區,劍南路648巷12號
62,金剛寺,中山區,中山北路4段71巷2弄臨三號
63,財團法人九府仙師普惠堂,中山區,民權西路70巷49號
64,財團法人台北市中庄仔福德宮,中山區,吉林路236巷35號
65,財團法人台北市永靜廟,中山區,錦西街9號
66,財團法人台北市朱厝崙福聚宮,中山區,龍江路55巷21號
67,財團法人台北市妙道院,中山區,農安街87號
68,財團法人台北市景福宮,中山區,德惠街11號
69,財團法人台北市蓮友念佛團,中山區,朱崙街63號
70,財團法人台北市臨濟護國禪寺,中山區,玉門街9號
71,財團法人台北市雙境廟,中山區,松江路235巷22號
72,財團法人台北行天宮,中山區,民權東路2段109號
73,財團法人劍潭古寺,中山區,北安路805巷6號
74,景新宮,中山區,濱江街6之1號
75,植福宮,中山區,北安路608巷14弄1號
76,圓山藥師寺,中山區,中山北路4段1巷1弄6號旁
77,圓通巖,中山區,中山北路4段1巷1弄3號
78,新福宮,中山區,新生北路2段62巷33號
79,福正宮,中山區,中山北路4段67號
80,慧日講堂,中山區,朱崙街36號
81,鎮安宮,中山區,基湖路151巷46弄6號
82,二二八公園福德宮,中正區,懷寧街107號
83,光華寺,中正區,水源路157號
84,長慶廟,中正區,晉江街34號
85,財團法人台北市十普寺,中正區,南昌路2段140號
86,財團法人台北市東和禪寺,中正區,仁愛路1段21-33號
87,財團法人台北市南福宮,中正區,和平西路1段55巷1號
88,財團法人台北市淨土宗善導寺,中正區,忠孝東路1段23號
89,財團法人台北市華嚴蓮社,中正區,濟南路2段44號
90,財團法人台北市聖靈寺,中正區,汀州路3段10號
91,財團法人台北市臺灣省城隍廟,中正區,武昌街1段14號
92,通法寺,中正區,廈門街34巷15號
93,蓮雲禪苑,中正區,連雲街74巷5號
94,寶藏巖,中正區,汀州路3段230巷23號
95,大橋頭福德廟,大同區,迪化街2段22號
96,大龍峒福壽宮,大同區,敦煌路臨二之一號
97,北門口福聚宮,大同區,延平北路1段68號
98,台北協天宮,大同區,大龍街89-1號
99,台北保仁宮,大同區,承德路3段214巷9號
100,台北霞海城隍廟,大同區,迪化街1段61號
101,平光寺,大同區,敦煌路78號
102,和德祠,大同區,甘谷街42號
103,法主公廟,大同區,南京西路344巷2號
104,青雲宮,大同區,民權西路160巷30弄7號
105,真聖堂,大同區,延平北路2段61巷16號
106,祠宇媽祖宮,大同區,保安街49巷17號
107,財團法人台北市天師宮,大同區,延平北路3段99號
108,財團法人台北市至善堂,大同區,保安街49巷16號
109,財團法人台北市金萬成團,大同區,民權西路184巷1號
110,財團法人台北市普濟寺,大同區,華陰街100號
111,財團法人台北市智仁宮,大同區,昌吉街95巷23號
112,財團法人台北市萬和宮,大同區,迪化街2段304號
113,財團法人台北市聖觀寺,大同區,赤峰街33巷1號
114,財團法人台北市醒心宮,大同區,迪化街1段307巷9號
115,財團法人台北市雙福宮,大同區,雙連街37號
116,財團法人台北市覺修宮,大同區,重慶北路3段340號
117,財團法人台北保安宮,大同區,哈密街61號
118,財團法人台灣佛教道友會,大同區,保安街1之12號8樓
