房屋標示,建物門牌
士林區福林段二小段20209建號（含共同使用部分及停車位編號117）,士林區福林路100巷11弄57號4樓
士林區福林段二小段20219建號（含共同使用部分及停車位編號162）,士林區福林路100巷11弄55號7樓
士林區福林段二小段20223建號（含共同使用部分及停車位編號150）,士林區福林路100巷11弄53號4樓
士林區福林段二小段20226建號（含共同使用部分及停車位編號145）,士林區福林路100巷11弄53號7樓
士林區福林段二小段20244建號（含共同使用部分及停車位編號135）,士林區福林路100巷77弄21號4樓
士林區福林段二小段20275建號（含共同使用部分及停車位編號104）,士林區福林路100巷77弄13號7樓
士林區福林段二小段20300建號（含共同使用部分及停車位編號72）,士林區福林路100巷77弄5號4樓
士林區福林段二小段20307建號（含共同使用部分及停車位編號58）,士林區福林路100巷77弄3號4樓
士林區福林段二小段20333建號（含共同使用部分及停車位編號36）,士林區福林路100巷76弄2號之1
士林區福林段二小段20338建號（含共同使用部分及停車位編號75）,士林區福林路7號70樓之1
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,士林區福林路70號3樓之2
士林區福林段二小段20342建號（含共同使用部分及停車位編號16）,士林區福林路100巷70號5樓之2
士林區福林段二小段20344建號（含共同使用部分及停車位編號27）,士林區福林路100巷70號7樓之2
士林區福林段二小段20345建號（含共同使用部分及停車位編號56）,士林區福林路100巷72號
士林區福林段二小段20347建號（含共同使用部分及停車位編號54）,士林區福林路100巷70號3樓之1
士林區福林段二小段20348建號（含共同使用部分及停車位編號38）,士林區福林路100巷70號4樓之1
士林區福林段二小段20350建號（含共同使用部分及停車位編號43）,士林區福林路100巷70號6樓之1
士林區福林段二小段20352建號（含共同使用部分及停車位編號44）,士林區福林路100巷70號
士林區福林段二小段20356建號（含共同使用部分及停車位編號46）,士林區福林路100巷70號5樓
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,士林區福林路70號3樓之2
士林區福林段二小段20342建號（含共同使用部分及停車位編號16）,士林區福林路100巷70號5樓之2
士林區福林段二小段20345建號（含共同使用部分及停車位編號56）,士林區福林路100巷72號
士林區福林段二小段20348建號（含共同使用部分及停車位編號38）,士林區福林路100巷70號4樓之1
信義區雅祥段三小段2442建號（含共同使用部分及停車位編號32、84）,信義區永吉路30巷101弄23號4樓
信義區雅祥段三小段2443建號（含共同使用部分及停車位編號30）,信義區永吉路30巷101弄31號2樓
信義區雅祥段三小段2444建號（含共同使用部分及停車位編號31、148）,信義區永吉路30巷101弄29號2樓
信義區雅祥段三小段2445建號（含共同使用部分及停車位編號42、147）,信義區永吉路30巷101弄31號3樓
信義區雅祥段三小段2446建號（含共同使用部分及停車位編號41、136）,信義區永吉路30巷101弄29號3樓
信義區雅祥段三小段2447建號（含共同使用部分及停車位編號19、137）,信義區永吉路30巷101弄31號4樓
信義區雅祥段三小段2448建號（含共同使用部分及停車位編號24、134）,信義區永吉路30巷101弄29號4樓
信義區雅祥段三小段2449建號（含共同使用部分及停車位編號29、139）,信義區永吉路30巷101弄31號5樓
信義區雅祥段三小段2450建號（含共同使用部分及停車位編號20、135）,信義區永吉路30巷101弄29號5樓
信義區雅祥段三小段2451建號（含共同使用部分及停車位編號21、141）,信義區永吉路30巷101弄31號6樓
信義區雅祥段三小段2452建號（含共同使用部分及停車位編號22、140）,信義區永吉路30巷101弄29號6樓
信義區雅祥段三小段2453建號（含共同使用部分及停車位編號23、138）,信義區永吉路30巷101弄31號7樓
信義區雅祥段三小段2454建號（含共同使用部分及停車位編號25、196）,信義區永吉路30巷101弄29號7樓
信義區雅祥段三小段2455建號（含共同使用部分及停車位編號26、197）,信義區永吉路30巷101弄31號8樓
信義區雅祥段三小段2456建號（含共同使用部分及停車位編號28、195）,信義區永吉路30巷101弄29號8樓
信義區雅祥段三小段2457建號（含共同使用部分及停車位編號104、226）,信義區永吉路30巷101弄31號9樓
信義區雅祥段三小段2458建號（含共同使用部分及停車位編號127、194）,信義區永吉路30巷101弄29號9樓
信義區雅祥段三小段2459建號（含共同使用部分及停車位編號128、227）,信義區永吉路30巷101弄31號10樓
信義區雅祥段三小段2460建號（含共同使用部分及停車位編號129、228）,信義區永吉路30巷101弄29號10樓
信義區雅祥段三小段2461建號（含共同使用部分及停車位編號130、131）,信義區永吉路30巷101弄31號11樓
信義區雅祥段三小段2462建號（含共同使用部分及停車位編號132、133）,信義區永吉路30巷101弄29號11樓
中正區永昌段六小段1341建號（含共同使用部分）,中正區汀州路1段76號9樓
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,士林區福林路70號3樓之2
士林區福林段二小段20224建號（含共同使用部分及停車位編號149）,福林路100巷11弄53號5樓
信義區雅祥段三小段2442建號（含共同使用部分及停車位編號32、84）,信義區永吉路30巷101弄23號4樓
信義區雅祥段三小段2443建號（含共同使用部分及停車位編號30）,信義區永吉路30巷101弄31號2樓
信義區雅祥段三小段2445建號（含共同使用部分及停車位編號42、147）,信義區永吉路30巷101弄31號3樓
信義區雅祥段三小段2447建號（含共同使用部分及停車位編號19、137）,信義區永吉路30巷101弄31號4樓
信義區雅祥段三小段2457建號（含共同使用部分及停車位編號104、226）,信義區永吉路30巷101弄31號9樓
信義區雅祥段三小段2459建號（含共同使用部分及停車位編號128、227）,信義區永吉路30巷101弄31號10樓
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,信義區士林區福林路70號2樓之2
士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,信義區士林區福林路70號3樓之2
信義區雅祥段三小段2445建號（含共同使用部分及停車位編號42、147）,信義區永吉路30巷101弄31號3樓
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,士林區福林路70號3樓之2
松山區西松段二小段2344建號（含共同使用部分）,松山區南京東路五段66巷22弄32號4樓
士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,士林區福林路70號2樓之2
士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,士林區福林路70號3樓之2
士林區福林段二小段20355建號（含共同使用部分及停車位編號30）,士林區福林路70號4樓
松山區西松段二小段2344建號（含共同使用部分）,松山區南京東路五段66巷22弄32號4樓
中山區吉林段三小段5422建號（含共同使用部分及停車位編號130）,中山區民生東路二段1號10樓之2
中山區吉林段三小段5421建號（含共同使用部分及停車位編號80）,中山區民生東路二段1號10樓之3
萬華區萬大段二小段1743建號（含共同使用部分及停車位編號32、33）,萬華區萬大路344巷36號13樓之1
