序號,用戶名稱
1,士林電機廠股份有限公司(仰德大樓)
2,大葉高島屋百貨股份有限公司
3,中國文化大學
4,中鼎工程股份有限公司
5,中鼎工程股份有限公司
6,太平洋崇光百貨股份有限公司天母分公司
7,台北美國學校
8,光華巴士股份有限公司
9,東吳大學(雙溪校區)
10,法官學院
11,財團法人台北歐洲學校
12,國立故宮博物院(北部院區)
13,國立傳統藝術中心
14,國立臺灣科學教育館
15,國防部衡山管理隊
16,順來營造股份有限公司
17,新光三越百貨股份有限公司台北天母分公司
18,新光三越百貨股份有限公司台北天母分公司二館
19,新光醫療財團法人新光吳火獅紀念醫院
20,臺北大眾捷運股份有限公司(臺北市立兒童新樂園)
21,臺北市立大學(天母校區)
22,臺北市立天文科學教育館
23,臺北市立聯合醫院(陽明院區)
24,臺北表演藝術中心
25,銘傳大學(台北校區)
26,劍潭海外青年活動中心
27,京站實業股份有限公司(京站時尚廣場)
28,家福股份有限公司重慶分公司
29,財政部關務署
30,雲品國際酒店股份有限公司台北分公司(台北君品酒店)
31,臺北市市場處（士東市場）
32,臺北市立聯合醫院(中興院區)
33,臺北市政府工務局衛生下水道工程處(迪化污水處理廠)
34,臺灣銀行股份有限公司資訊大樓
35,大陸工程股份有限公司
36,中央百世大樓管理委員會
37,中華郵政股份有限公司
38,中華郵政股份有限公司(金山大樓)
39,中華郵政股份有限公司(愛國大樓前棟)
40,中華郵政股份有限公司(愛國大樓後棟)
41,中華郵政股份有限公司臺北郵件處理中心
42,中華電信股份有限公司台北營運處(東三機房大樓)
43,中華電信股份有限公司台北營運處(南一機房)
44,中華電信股份有限公司資訊技術分公司
45,中華電信股份有限公司網路技術分公司(行通大樓)
46,中華電視股份有限公司(光復大樓)
47,中華電視股份有限公司(華視大樓)
48,太平洋崇光百貨股份有限公司
49,太平洋崇光百貨股份有限公司敦化分公司
50,太平洋崇光百貨股份有限公司復興分公司
51,世貿大樓管理委員會
52,台新金控大樓管理委員會
53,芙蓉大樓管理委員會
54,忠興開發股份有限公司
55,明曜百貨股份有限公司
56,空軍作戰指揮部
57,科技大樓管理會管理小組
58,時代通商廣場大樓管理委員會
59,財團法人台北市私立復興國民中小學
60,國立台灣師範大學附屬高級中學
61,國立政治大學
62,國立臺北科技大學
63,國立臺北教育大學
64,國立臺灣大學
65,國立臺灣大學
66,國立臺灣大學醫學院附設醫院癌醫中心分院
67,國立臺灣科技大學
68,國立臺灣師範大學(校本部校區)
69,國立臺灣師範大學(圖書館校區)
70,國立臺灣師範大學(學一舍校區)
