SECT_NAME,SECT_CODE,LIE_NAME,LIE_CODE,LI_NO,SDFKEY,SDFNAME
北投區,6301200,湖田里,6301200042,003,6301200042003,湖田里3鄰
北投區,6301200,湖田里,6301200042,002,6301200042002,湖田里2鄰
士林區,6301100,平等里,6301100048,010,6301100048010,平等里10鄰
北投區,6301200,泉源里,6301200039,015,6301200039015,泉源里15鄰
士林區,6301100,平等里,6301100048,007,6301100048007,平等里7鄰
北投區,6301200,泉源里,6301200039,016,6301200039016,泉源里16鄰
北投區,6301200,泉源里,6301200039,009,6301200039009,泉源里9鄰
北投區,6301200,開明里,6301200029,003,6301200029003,開明里3鄰
北投區,6301200,中心里,6301200027,012,6301200027012,中心里12鄰
北投區,6301200,林泉里,6301200026,004,6301200026004,林泉里4鄰
北投區,6301200,中央里,6301200022,017,6301200022017,中央里17鄰
北投區,6301200,清江里,6301200021,006,6301200021006,清江里6鄰
北投區,6301200,奇岩里,6301200020,001,6301200020001,奇岩里1鄰
士林區,6301100,天和里,6301100039,018,6301100039018,天和里18鄰
北投區,6301200,奇岩里,6301200020,013,6301200020013,奇岩里13鄰
北投區,6301200,奇岩里,6301200020,015,6301200020015,奇岩里15鄰
北投區,6301200,奇岩里,6301200020,019,6301200020019,奇岩里19鄰
士林區,6301100,天和里,6301100039,016,6301100039016,天和里16鄰
北投區,6301200,永欣里,6301200010,021,6301200010021,永欣里21鄰
士林區,6301100,天山里,6301100040,020,6301100040020,天山里20鄰
北投區,6301200,永欣里,6301200010,019,6301200010019,永欣里19鄰
北投區,6301200,東華里,6301200012,001,6301200012001,東華里1鄰
北投區,6301200,立農里,6301200017,014,6301200017014,立農里14鄰
士林區,6301100,天山里,6301100040,006,6301100040006,天山里6鄰
士林區,6301100,天玉里,6301100041,004,6301100041004,天玉里4鄰
北投區,6301200,立農里,6301200017,002,6301200017002,立農里2鄰
北投區,6301200,關渡里,6301200038,009,6301200038009,關渡里9鄰
士林區,6301100,天玉里,6301100041,002,6301100041002,天玉里2鄰
北投區,6301200,立農里,6301200017,012,6301200017012,立農里12鄰
北投區,6301200,立農里,6301200017,011,6301200017011,立農里11鄰
北投區,6301200,立農里,6301200017,003,6301200017003,立農里3鄰
北投區,6301200,立農里,6301200017,007,6301200017007,立農里7鄰
北投區,6301200,立農里,6301200017,008,6301200017008,立農里8鄰
北投區,6301200,關渡里,6301200038,010,6301200038010,關渡里10鄰
士林區,6301100,天玉里,6301100041,009,6301100041009,天玉里9鄰
士林區,6301100,芝山里,6301100031,027,6301100031027,芝山里27鄰
士林區,6301100,芝山里,6301100031,016,6301100031016,芝山里16鄰
北投區,6301200,榮光里,6301200005,003,6301200005003,榮光里3鄰
內湖區,6301000,碧山里,6301000015,013,6301000015013,碧山里13鄰
士林區,6301100,社園里,6301100021,022,6301100021022,社園里22鄰
士林區,6301100,福林里,6301100003,001,6301100003001,福林里1鄰
士林區,6301100,福佳里,6301100007,019,6301100007019,福佳里19鄰
士林區,6301100,福安里,6301100023,002,6301100023002,福安里2鄰
士林區,6301100,社子里,6301100019,005,6301100019005,社子里5鄰
士林區,6301100,福佳里,6301100007,006,6301100007006,福佳里6鄰
內湖區,6301000,碧山里,6301000015,019,6301000015019,碧山里19鄰
士林區,6301100,永倫里,6301100022,014,6301100022014,永倫里14鄰
士林區,6301100,仁勇里,6301100001,017,6301100001017,仁勇里17鄰
士林區,6301100,後港里,6301100008,021,6301100008021,後港里21鄰
士林區,6301100,後港里,6301100008,017,6301100008017,後港里17鄰
士林區,6301100,社子里,6301100019,009,6301100019009,社子里9鄰
士林區,6301100,社子里,6301100019,021,6301100019021,社子里21鄰
士林區,6301100,仁勇里,6301100001,013,6301100001013,仁勇里13鄰
士林區,6301100,後港里,6301100008,007,6301100008007,後港里7鄰
士林區,6301100,社園里,6301100021,023,6301100021023,社園里23鄰
內湖區,6301000,大湖里,6301000012,015,6301000012015,大湖里15鄰
士林區,6301100,永倫里,6301100022,002,6301100022002,永倫里2鄰
士林區,6301100,永倫里,6301100022,008,6301100022008,永倫里8鄰
士林區,6301100,後港里,6301100008,014,6301100008014,後港里14鄰
內湖區,6301000,港富里,6301000007,029,6301000007029,港富里29鄰
士林區,6301100,仁勇里,6301100001,009,6301100001009,仁勇里9鄰
士林區,6301100,社子里,6301100019,008,6301100019008,社子里8鄰
士林區,6301100,義信里,6301100002,010,6301100002010,義信里10鄰
中山區,6300400,劍潭里,6300400013,013,6300400013013,劍潭里13鄰
內湖區,6301000,大湖里,6301000012,016,6301000012016,大湖里16鄰
內湖區,6301000,碧山里,6301000015,008,6301000015008,碧山里8鄰
士林區,6301100,後港里,6301100008,012,6301100008012,後港里12鄰
士林區,6301100,福中里,6301100009,017,6301100009017,福中里17鄰
內湖區,6301000,金瑞里,6301000014,017,6301000014017,金瑞里17鄰
內湖區,6301000,金瑞里,6301000014,016,6301000014016,金瑞里16鄰
士林區,6301100,社新里,6301100020,010,6301100020010,社新里10鄰
士林區,6301100,社新里,6301100020,012,6301100020012,社新里12鄰
內湖區,6301000,大湖里,6301000012,011,6301000012011,大湖里11鄰
內湖區,6301000,大湖里,6301000012,022,6301000012022,大湖里22鄰
內湖區,6301000,金瑞里,6301000014,013,6301000014013,金瑞里13鄰
士林區,6301100,社新里,6301100020,026,6301100020026,社新里26鄰
士林區,6301100,仁勇里,6301100001,001,6301100001001,仁勇里1鄰
內湖區,6301000,金瑞里,6301000014,007,6301000014007,金瑞里7鄰
士林區,6301100,前港里,6301100010,012,6301100010012,前港里12鄰
內湖區,6301000,金瑞里,6301000014,023,6301000014023,金瑞里23鄰
內湖區,6301000,碧山里,6301000015,017,6301000015017,碧山里17鄰
士林區,6301100,社新里,6301100020,007,6301100020007,社新里7鄰
士林區,6301100,義信里,6301100002,012,6301100002012,義信里12鄰
內湖區,6301000,西安里,6301000003,021,6301000003021,西安里21鄰
士林區,6301100,社新里,6301100020,008,6301100020008,社新里8鄰
內湖區,6301000,碧山里,6301000015,011,6301000015011,碧山里11鄰
士林區,6301100,社子里,6301100019,013,6301100019013,社子里13鄰
士林區,6301100,社新里,6301100020,001,6301100020001,社新里1鄰
內湖區,6301000,西安里,6301000003,017,6301000003017,西安里17鄰
士林區,6301100,前港里,6301100010,002,6301100010002,前港里2鄰
內湖區,6301000,西安里,6301000003,016,6301000003016,西安里16鄰
士林區,6301100,社新里,6301100020,005,6301100020005,社新里5鄰
內湖區,6301000,金瑞里,6301000014,003,6301000014003,金瑞里3鄰
內湖區,6301000,西安里,6301000003,006,6301000003006,西安里6鄰
士林區,6301100,社新里,6301100020,019,6301100020019,社新里19鄰
士林區,6301100,社新里,6301100020,006,6301100020006,社新里6鄰
士林區,6301100,社新里,6301100020,017,6301100020017,社新里17鄰
中山區,6300400,北安里,6300400042,012,6300400042012,北安里12鄰
士林區,6301100,葫蘆里,6301100017,013,6301100017013,葫蘆里13鄰
中山區,6300400,北安里,6300400042,007,6300400042007,北安里7鄰
中山區,6300400,北安里,6300400042,008,6300400042008,北安里8鄰
士林區,6301100,社新里,6301100020,016,6301100020016,社新里16鄰
士林區,6301100,葫蘆里,6301100017,017,6301100017017,葫蘆里17鄰
內湖區,6301000,西湖里,6301000001,010,6301000001010,西湖里10鄰
內湖區,6301000,西湖里,6301000001,002,6301000001002,西湖里2鄰
內湖區,6301000,西湖里,6301000001,013,6301000001013,西湖里13鄰
內湖區,6301000,金龍里,6301000013,016,6301000013016,金龍里16鄰
內湖區,6301000,秀湖里,6301000032,021,6301000032021,秀湖里21鄰
士林區,6301100,百齡里,6301100011,025,6301100011025,百齡里25鄰
內湖區,6301000,西湖里,6301000001,033,6301000001033,西湖里33鄰
內湖區,6301000,內湖里,6301000009,019,6301000009019,內湖里19鄰
內湖區,6301000,西湖里,6301000001,032,6301000001032,西湖里32鄰
內湖區,6301000,港華里,6301000008,015,6301000008015,港華里15鄰
士林區,6301100,百齡里,6301100011,011,6301100011011,百齡里11鄰
內湖區,6301000,西康里,6301000002,021,6301000002021,西康里21鄰
內湖區,6301000,清白里,6301000017,013,6301000017013,清白里13鄰
士林區,6301100,百齡里,6301100011,002,6301100011002,百齡里2鄰
內湖區,6301000,內湖里,6301000009,009,6301000009009,內湖里9鄰
中山區,6300400,大直里,6300400014,009,6300400014009,大直里9鄰
中山區,6300400,成功里,6300400015,016,6300400015016,成功里16鄰
士林區,6301100,百齡里,6301100011,020,6301100011020,百齡里20鄰
士林區,6301100,百齡里,6301100011,003,6301100011003,百齡里3鄰
內湖區,6301000,港華里,6301000008,013,6301000008013,港華里13鄰
