seqno,stitle,xbody,xcreatedDate,xAddress,GTag_longitude,GTag_latitude
1,天母超級市場,現由全聯實業股份有限公司承租經營。,2018-09-05,臺北市士林區中山北路七段154巷6號,121.532946,25.123421
2,黎忠超級市場,現由全聯實業股份有限公司承租經營。,2013-01-08,臺北市信義區和平東路3段391巷16號,121.558089,25.020185
3,民生超級市場,現由惠康百貨股份有限公司承租經營。,2012-04-13,臺北市松山區敦化北路199巷5號1樓,121.55113,25.057122
4,民有超級市場,現由全聯實業股份有限公司承租經營。,2012-04-13,臺北市松山區民權東路三段140巷15號,121.546907,25.0603659
5,六合超級市場,現由全聯實業股份有限公司承租經營。,2012-04-13,臺北市信義區松仁路240巷19號,121.5690193,25.0244703
6,松興超級市場,現由全聯實業股份有限公司承租經營。,2013-03-25,臺北市信義區松隆路36號,121.5674437,25.0433546
7,三興超級市場,現由全聯實業股份有限公司承租經營。,2012-04-13,臺北市信義區吳興街156巷6號1、2樓,121.561168,25.029062
8,鵬程超級市場,現由全聯實業股份有限公司承租經營。,2012-04-13,臺北市松山區健康路399號,121.568808,25.054639
9,康樂超級市場,現由惠康百貨股份有限公司承租經營。,2012-04-13,臺北市內湖區康樂街150號,121.619221,25.072607
10,湖興超級市場,現由惠康百貨股份有限公司承租經營。,2012-04-13,臺北市內湖區成功路二段320巷19號,121.589995,25.067663
11,東新超級市場,現由惠康百貨股份有限公司承租經營。,2012-04-13,臺北市南港區東明街99號1樓,121.600061,25.0545379
12,凌雲超級市場,現由全聯實業股份有限公司承租經營。,2013-03-25,臺北市南港區研究院路三段68巷9號,121.614332,25.0352419
13,民榮超級市場,現由全聯實業股份有限公司承租經營。,2012-04-13,臺北市大安區仁愛路三段24巷12號,121.535817,25.035214
14,芳和超級市場,由原址攤販組成「芳和超級市場股份有限公司」與全聯實業股份有限公司聯合經營。 ,2013-01-08,臺北市大安區樂業街87號,121.5512857,25.0216633
15,延吉超級市場,現由全聯實業股份有限公司承租經營。,2013-03-25,臺北市大安區市民大道四段190號,121.553981,25.044179
16,華山超級市場,現由全聯實業股份有限公司承租經營。,2012-04-13,臺北市中正區忠孝東路一段86號,121.524429,25.044349
17,同安超級市場,現由惠康百貨股份有限公司承租經營。,2012-04-13,臺北市中正區同安街71號,121.521452,25.0233279
18,吉利超級市場,由原址攤販組成「吉利超級市場股份有限公司」與全聯實業股份有限公司聯合經營。,2013-01-08,臺北市北投區吉利街125號,121.506708,25.11869
19,清江超級市場,現由惠康百貨股份有限公司承租經營。,2013-01-08,臺北市北投區公館路198號,121.50735,25.127735
20,江寧超級市場,現由全聯實業股份有限公司承租經營。,2012-04-13,臺北市中山區合江街137號,121.539362,25.061645
21,朱崙超級市場,現由全聯實業股份有限公司承租經營。,2012-04-13,臺北市中山區龍江路15號1、2樓,121.540498,25.047492
22,永安超級市場,現由惠康百貨股份有限公司承租經營。,2012-04-13,臺北市文山區木新路二段156號1樓,121.568879,24.984147
23,永建超級市場,現由全聯實業股份有限公司承租經營。,2013-01-08,臺北市文山區木柵路一段177號,121.550996,24.987718
24,萬興超級市場,現由惠康百貨股份有限公司承租經營。,2013-01-08,臺北市文山區萬壽路27號1F,121.576456,24.988499
25,萬和超級市場,現由台北市農會承租經營。,2012-04-13,臺北市文山區萬隆街47之12號,121.536037,25.000761
26,忠順超級市場,現由全聯實業股份有限公司承租經營。,2013-03-25,臺北市文山區忠順街二段22號,121.563096,24.9846579
27,後港超級市場,現由惠康百貨股份有限公司承租經營。,2012-04-13,臺北市士林區華齡街175號,121.5194201,25.0870481
28,文化超級市場,現由惠康百貨股份有限公司承租經營。,2012-04-13,臺北市士林區格致路7號,121.546143,25.136332
29,雙園超級市場,現由全聯實業股份有限公司承租經營。,2013-01-07,臺北市萬華區興寧街2號,121.5022176,25.0322812
30,成功超級市場,現由全聯實業股份有限公司承租經營。,2013-03-25,臺北市大安區和平東路2段311巷29號,121.545235,25.025583
31,幸安超級市場,現由家福股份有限公司承租經營。,2017-11-19,台北市中正區濟南路2段46號B1,121.530821,25.040575
32,瑞光超級市場,現由全聯實業股份有限公司承租經營。,2021-07-27,臺北市內湖區陽光街319號,121.57865,25.07357
33,稻香超級市場,現由全聯實業股份有限公司承租經營。,2022-12-12,臺北市北投區稻香路81號1樓,121.48941,25.1412
