公告日期,標案名稱,土地標示,面積_㎡,房屋標示,面積_㎡,建物門牌,標售底標金額,得標價,後續處理
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20209建號（含共同使用部分及停車位編號117）,172.32,士林區福林路100巷11弄57號4樓,"34,121,800","38,710,000",已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20219建號（含共同使用部分及停車位編號162）,172.32,士林區福林路100巷11弄55號7樓,"35,145,700","36,260,000",已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20223建號（含共同使用部分及停車位編號150）,169.95,士林區福林路100巷11弄53號4樓,"35,594,500","41,600,000",已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20226建號（含共同使用部分及停車位編號145）,169.95,士林區福林路100巷11弄53號7樓,"34,601,100","37,080,000",已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20244建號（含共同使用部分及停車位編號135）,169.95,士林區福林路100巷77弄21號4樓,"33,776,000","38,140,000",已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20275建號（含共同使用部分及停車位編號104）,169.95,士林區福林路100巷77弄13號7樓,"35,220,400","38,888,889",已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20300建號（含共同使用部分及停車位編號72）,169.95,士林區福林路100巷77弄5號4樓,"33,776,000","34,388,999",已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20307建號（含共同使用部分及停車位編號58）,169.95,士林區福林路100巷77弄3號4樓,"33,776,000","34,688,800",已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,82.14,士林區福林段二小段20333建號（含共同使用部分及停車位編號36）,212.86,士林區福林路100巷76弄2號之1,"43,278,500","43,851,000",已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,82.14,士林區福林段二小段20338建號（含共同使用部分及停車位編號75）,212.86,士林區福林路7號70樓之1,"44,171,700","45,660,000",已標脫
